sample_id,family,distribution,vm,run,sample,started_at_utc,input_sha256,ffmpeg_exit_code,elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
debian-r01-s01,debian,debian,debian,1,1,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,308.9,77.5,346.344,772.543,9.7,4.252,1.5,4.252,1.5,0.0,1.504,19.0,2.117
debian-r01-s02,debian,debian,debian,1,2,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,348.2,87.0,346.887,778.629,9.8,7.565,3.5,3.305,1.995,0.0,3.504,19.0,2.117
debian-r01-s03,debian,debian,debian,1,3,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.003,351.8,87.4,347.004,776.543,9.8,10.971,5.5,3.404,1.999,0.0,5.504,19.0,2.117
debian-r01-s04,debian,debian,debian,1,4,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.004,346.9,86.8,347.023,774.414,9.7,14.284,7.5,3.311,1.999,0.0,7.504,19.0,2.117
debian-r01-s05,debian,debian,debian,1,5,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.004,348.7,87.2,347.035,772.449,9.7,17.659,9.5,3.372,1.998,0.0,9.504,19.0,2.117
debian-r01-s06,debian,debian,debian,1,6,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.006,344.5,85.8,349.984,778.582,9.8,20.877,11.25,3.214,1.748,0.0,11.254,19.0,2.428
debian-r01-s07,debian,debian,debian,1,7,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.006,350.8,87.8,349.996,782.66,9.9,24.284,13.5,3.405,2.249,0.0,13.504,19.0,2.428
debian-r01-s08,debian,debian,debian,1,8,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.01,351.7,87.8,350.008,779.168,9.8,27.69,15.5,3.394,1.993,0.0,15.504,19.0,2.428
debian-r01-s09,debian,debian,debian,1,9,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.01,350.8,87.7,350.02,777.215,9.8,31.034,17.5,3.342,1.999,0.0,17.504,19.0,2.428
debian-r01-s10,debian,debian,debian,1,10,2026-09-14T00:28:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.011,157.9,39.0,0.0,463.074,5.8,,,,,,,1.0,2.428
debian-r02-s01,debian,debian,debian,2,1,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,313.9,78.5,346.434,770.723,9.7,4.254,1.5,4.254,1.5,0.0,1.504,19.0,2.233
debian-r02-s02,debian,debian,debian,2,2,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,343.2,86.3,346.914,768.781,9.7,7.629,3.5,3.367,1.995,0.0,3.504,19.0,2.233
debian-r02-s03,debian,debian,debian,2,3,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.003,347.9,86.8,349.09,774.633,9.8,11.035,5.5,3.405,1.999,0.0,5.504,19.0,2.214
debian-r02-s04,debian,debian,debian,2,4,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.006,351.0,87.5,349.102,780.629,9.8,14.442,7.5,3.397,1.994,0.0,7.504,19.0,2.214
debian-r02-s05,debian,debian,debian,2,5,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.006,346.8,86.8,349.113,778.68,9.8,17.848,9.5,3.405,1.999,0.0,9.504,19.0,2.214
debian-r02-s06,debian,debian,debian,2,6,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.006,341.8,85.2,349.129,776.609,9.8,21.129,11.5,3.28,1.999,0.0,11.504,19.0,2.214
debian-r02-s07,debian,debian,debian,2,7,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.007,352.8,88.2,349.141,774.59,9.8,24.473,13.5,3.342,1.999,0.0,13.504,19.0,2.214
debian-r02-s08,debian,debian,debian,2,8,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.007,346.9,86.6,349.152,772.586,9.7,27.879,15.5,3.405,1.999,0.0,15.504,19.0,2.117
debian-r02-s09,debian,debian,debian,2,9,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.01,347.1,86.4,349.164,770.52,9.7,31.223,17.5,3.335,1.995,0.0,17.504,19.0,2.117
debian-r02-s10,debian,debian,debian,2,10,2026-09-14T00:29:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.011,135.9,34.1,0.0,465.902,5.9,,,,,,,1.0,2.117
debian-r03-s01,debian,debian,debian,3,1,2026-09-14T00:29:13+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,304.9,76.3,345.562,769.566,9.7,4.221,1.5,4.221,1.5,0.0,1.504,19.0,1.947
debian-r03-s02,debian,debian,debian,3,2,2026-09-14T00:29:13+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.004,349.7,87.3,346.078,767.633,9.7,7.627,3.5,3.394,1.993,0.0,3.504,19.0,1.947
