sample_id,family,distribution,vm,run,sample,started_at_utc,elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,threads,load_1m
debian-r01-s01,debian,debian,debian,1,1,2026-09-14T00:28:47+00:00,1.0,308.9,77.5,346.344,772.543,9.7,19.0,2.117
debian-r01-s02,debian,debian,debian,1,2,2026-09-14T00:28:47+00:00,2.002,348.2,87.0,346.887,778.629,9.8,19.0,2.117
debian-r01-s03,debian,debian,debian,1,3,2026-09-14T00:28:47+00:00,3.003,351.8,87.4,347.004,776.543,9.8,19.0,2.117
debian-r01-s04,debian,debian,debian,1,4,2026-09-14T00:28:47+00:00,4.004,346.9,86.8,347.023,774.414,9.7,19.0,2.117
debian-r01-s05,debian,debian,debian,1,5,2026-09-14T00:28:47+00:00,5.004,348.7,87.2,347.035,772.449,9.7,19.0,2.117
debian-r01-s06,debian,debian,debian,1,6,2026-09-14T00:28:47+00:00,6.006,344.5,85.8,349.984,778.582,9.8,19.0,2.428
debian-r01-s07,debian,debian,debian,1,7,2026-09-14T00:28:47+00:00,7.006,350.8,87.8,349.996,782.66,9.9,19.0,2.428
debian-r01-s08,debian,debian,debian,1,8,2026-09-14T00:28:47+00:00,8.01,351.7,87.8,350.008,779.168,9.8,19.0,2.428
debian-r01-s09,debian,debian,debian,1,9,2026-09-14T00:28:47+00:00,9.01,350.8,87.7,350.02,777.215,9.8,19.0,2.428
debian-r01-s10,debian,debian,debian,1,10,2026-09-14T00:28:47+00:00,10.011,157.9,39.0,0.0,463.074,5.8,1.0,2.428
debian-r02-s01,debian,debian,debian,2,1,2026-09-14T00:29:00+00:00,1.0,313.9,78.5,346.434,770.723,9.7,19.0,2.233
debian-r02-s02,debian,debian,debian,2,2,2026-09-14T00:29:00+00:00,2.002,343.2,86.3,346.914,768.781,9.7,19.0,2.233
debian-r02-s03,debian,debian,debian,2,3,2026-09-14T00:29:00+00:00,3.003,347.9,86.8,349.09,774.633,9.8,19.0,2.214
debian-r02-s04,debian,debian,debian,2,4,2026-09-14T00:29:00+00:00,4.006,351.0,87.5,349.102,780.629,9.8,19.0,2.214
debian-r02-s05,debian,debian,debian,2,5,2026-09-14T00:29:00+00:00,5.006,346.8,86.8,349.113,778.68,9.8,19.0,2.214
debian-r02-s06,debian,debian,debian,2,6,2026-09-14T00:29:00+00:00,6.006,341.8,85.2,349.129,776.609,9.8,19.0,2.214
debian-r02-s07,debian,debian,debian,2,7,2026-09-14T00:29:00+00:00,7.007,352.8,88.2,349.141,774.59,9.8,19.0,2.214
debian-r02-s08,debian,debian,debian,2,8,2026-09-14T00:29:00+00:00,8.007,346.9,86.6,349.152,772.586,9.7,19.0,2.117
debian-r02-s09,debian,debian,debian,2,9,2026-09-14T00:29:00+00:00,9.01,347.1,86.4,349.164,770.52,9.7,19.0,2.117
debian-r02-s10,debian,debian,debian,2,10,2026-09-14T00:29:00+00:00,10.011,135.9,34.1,0.0,465.902,5.9,1.0,2.117
debian-r03-s01,debian,debian,debian,3,1,2026-09-14T00:29:13+00:00,1.0,304.9,76.3,345.562,769.566,9.7,19.0,1.947
debian-r03-s02,debian,debian,debian,3,2,2026-09-14T00:29:13+00:00,2.004,349.7,87.3,346.078,767.633,9.7,19.0,1.947
debian-r03-s03,debian,debian,debian,3,3,2026-09-14T00:29:13+00:00,3.004,349.9,87.1,346.219,766.617,9.7,19.0,1.947
debian-r03-s04,debian,debian,debian,3,4,2026-09-14T00:29:13+00:00,4.005,343.9,86.0,346.293,764.582,9.6,19.0,1.947
debian-r03-s05,debian,debian,debian,3,5,2026-09-14T00:29:13+00:00,5.005,348.8,87.2,346.305,762.508,9.6,19.0,2.111
debian-r03-s06,debian,debian,debian,3,6,2026-09-14T00:29:13+00:00,6.005,345.9,86.4,346.316,760.555,9.6,19.0,2.111
debian-r03-s07,debian,debian,debian,3,7,2026-09-14T00:29:13+00:00,7.008,341.2,85.4,346.332,766.559,9.7,19.0,2.111
debian-r03-s08,debian,debian,debian,3,8,2026-09-14T00:29:13+00:00,8.008,345.9,86.5,346.348,764.738,9.6,19.0,2.111
debian-r03-s09,debian,debian,debian,3,9,2026-09-14T00:29:13+00:00,9.01,351.5,87.6,346.359,762.586,9.6,19.0,2.111
debian-r03-s10,debian,debian,debian,3,10,2026-09-14T00:29:13+00:00,10.01,156.9,38.5,0.0,466.355,5.9,1.0,2.183
