distribution,metric,n,mean,median,variance,std,cv_percent,min,q1,q3,max,range,iqr
Debian,FFmpeg CPU usage (%),100,323.975,346.85,3538.665530303031,59.48668363846678,18.361504325477824,131.9,341.125,349.9,355.8,223.9,8.774999999999977
Debian,System CPU usage (%),100,80.911,86.5,222.6807868686869,14.922492649309193,18.44309506656597,33.1,85.175,87.4,88.7,55.6,2.2250000000000085
Debian,FFmpeg RSS memory (MB),100,312.74004,347.029,10979.696540281211,104.78404716502035,33.5051588421554,0.0,346.14525000000003,349.072,350.094,350.094,2.92674999999997
Debian,System memory usage (MB),100,739.44884,768.7829999999999,8474.535676155958,92.05724130211571,12.449440221194438,453.281,762.826,773.5545,793.543,340.262,10.72849999999994
Ubuntu,FFmpeg CPU usage (%),100,325.82900000000006,350.8,4587.6123828282825,67.73191554081637,20.78756511569454,82.0,345.8,353.9,360.9,278.9,8.099999999999966
Ubuntu,System CPU usage (%),100,81.538,87.85,289.24258181818186,17.007133262786585,20.85792300864209,20.3,86.375,88.6,90.4,70.10000000000001,2.2249999999999943
Ubuntu,FFmpeg RSS memory (MB),100,283.25443,314.926,9005.463478570808,94.89712049672956,33.502431187653286,0.0,314.49025,315.094,315.371,315.371,0.6037499999999909
Ubuntu,System memory usage (MB),100,834.8552199999998,861.6095,6664.205840112726,81.63458727838787,9.778292729413357,578.727,854.40625,866.8085000000001,874.395,295.668,12.402250000000095
Arch Linux,FFmpeg CPU usage (%),100,331.55600000000004,365.29999999999995,8139.898246464649,90.22138464058645,27.21150714829062,36.0,358.02500000000003,368.8,376.4,340.4,10.774999999999977
Arch Linux,System CPU usage (%),100,81.98700000000001,90.1,496.15851616161615,22.274615959913117,27.168473001711384,8.9,88.425,91.3,93.3,84.39999999999999,2.875
Arch Linux,FFmpeg RSS memory (MB),100,295.48017000000004,325.07399999999996,9821.489323354646,99.10342740467983,33.5397896260449,0.0,323.67499999999995,333.8405,335.035,335.035,10.165500000000065
Arch Linux,System memory usage (MB),100,703.5844199999999,733.4395,8033.534893761212,89.62998880821759,12.73905252310982,429.828,724.881,740.57825,755.672,325.84400000000005,15.697250000000054
EndeavourOS,FFmpeg CPU usage (%),100,328.277,365.04999999999995,9852.673304040405,99.2606332039062,30.236852781006956,6.0,355.65,368.875,376.0,370.0,13.225000000000023
EndeavourOS,System CPU usage (%),100,81.161,90.1,601.1553323232323,24.518469208399456,30.209668693583687,1.5,87.9,91.2,93.1,91.6,3.299999999999997
EndeavourOS,FFmpeg RSS memory (MB),100,294.49566,324.879,9746.186478691312,98.72277588627313,33.522659004982664,0.0,323.87600000000003,330.858,332.957,332.957,6.981999999999971
EndeavourOS,System memory usage (MB),100,794.7092599999997,821.326,7792.550659729698,88.27542500452603,11.107889318481838,523.633,811.0137500000001,831.11425,849.305,325.6719999999999,20.100499999999897
Fedora,FFmpeg CPU usage (%),100,327.12,363.25,9014.353333333334,94.94394837657288,29.02419551741651,36.0,357.8,366.8,371.8,335.8,9.0
Fedora,System CPU usage (%),100,80.931,89.75,549.3296353535353,23.43778221917627,28.96020340682343,9.4,88.4,90.6,92.3,82.89999999999999,2.1999999999999886
Fedora,FFmpeg RSS memory (MB),100,271.47004,301.84950000000003,8271.792053654952,90.9493928163072,33.50255255287368,0.0,301.40825,302.028,302.238,302.238,0.6197500000000105
Fedora,System memory usage (MB),100,849.03803,873.338,5446.606431403132,73.80112757541806,8.692322954652344,616.34,864.8107500000001,877.5625,890.211,273.871,12.751749999999902
Bazzite,FFmpeg CPU usage (%),100,332.8260000000001,367.8,7593.6138626262655,87.14134416352702,26.182252637572486,51.0,360.325,369.8,376.8,325.8,9.475000000000023
Bazzite,System CPU usage (%),100,82.46199999999999,91.1,466.45934949494955,21.59767000152909,26.191057701158222,12.2,89.175,91.64999999999999,93.5,81.3,2.4749999999999943
Bazzite,FFmpeg RSS memory (MB),100,275.44221999999996,306.174,8515.305279627879,92.27841177452004,33.50191258788143,0.0,305.69025,306.392,306.762,306.762,0.7017500000000041
Bazzite,System memory usage (MB),100,971.4418400000002,995.0550000000001,5367.053215873132,73.26017482830035,7.541385578811423,736.977,981.8417499999999,1000.93025,1019.801,282.82400000000007,19.088500000000067
