elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,317.9,78.6,324.359,732.773,9.2,4.145,1.5,4.144,1.5,0.0,1.504,19.0,2.709
2.001,361.5,88.7,324.777,732.617,9.2,7.488,3.5,3.339,1.997,0.0,3.504,19.0,2.813
3.002,366.8,91.4,333.723,748.324,9.4,11.02,5.5,3.53,1.999,0.0,5.504,19.0,2.813
4.002,365.8,90.1,333.789,748.285,9.4,14.426,7.5,3.405,1.999,0.0,7.504,19.0,2.813
5.004,367.5,91.4,333.812,747.969,9.4,17.895,9.75,3.464,2.247,0.0,9.754,19.0,2.813
6.004,352.8,86.9,333.926,746.148,9.4,21.238,11.75,3.342,1.999,0.0,11.754,19.0,2.813
7.004,372.8,92.1,333.945,750.703,9.5,24.707,13.75,3.467,1.999,0.0,13.754,19.0,3.068
8.006,363.4,89.7,333.957,748.172,9.4,28.145,15.75,3.431,1.996,0.0,15.754,19.0,3.068
9.007,372.8,92.1,333.988,745.621,9.4,31.448,18.0,3.302,2.249,0.0,18.004,18.0,3.068
10.007,71.9,18.1,0.0,450.82,5.7,31.448,18.618,0.0,0.618,0.0,18.621,1.0,3.068
