family,distribution,vm,run,started_at_utc,input_sha256,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,logical_read_total_mb,logical_write_total_mb,storage_read_total_mb,storage_write_total_mb,threads_mean,threads_peak,ffmpeg_exit_code
arch,arch-linux,arch,1,2026-09-14T00:59:49+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,328.83,372.8,81.14,92.1,298.277,334.906,706.748,742.969,31.448,18.618,0.0,18.621,16.0,19.0,0
arch,arch-linux,arch,2,2026-09-14T01:00:02+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,328.28,369.8,81.13,91.4,300.544,334.168,703.159,733.863,31.447,18.618,0.0,18.621,16.0,19.0,0
arch,arch-linux,arch,3,2026-09-14T01:00:15+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,328.11,369.9,81.07,91.9,289.663,324.258,681.273,716.441,31.447,18.618,0.0,18.621,16.1,19.0,0
arch,arch-linux,arch,4,2026-09-14T01:00:29+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,329.71,370.0,81.55,91.9,294.793,332.156,696.144,736.965,31.447,18.618,0.0,18.621,16.1,19.0,0
arch,arch-linux,arch,5,2026-09-14T01:00:42+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,331.32,372.8,81.91,92.1,298.628,333.988,715.143,750.703,31.448,18.618,0.0,18.621,17.1,19.0,0
arch,arch-linux,arch,6,2026-09-14T01:00:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,334.44,376.4,82.76,93.1,291.735,324.422,708.628,741.223,31.447,18.618,0.0,18.621,17.1,19.0,0
arch,arch-linux,arch,7,2026-09-14T01:01:08+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.012,10,330.52,376.3,81.84,93.3,291.72,325.191,703.101,734.797,31.448,18.618,0.0,18.621,16.0,19.0,0
arch,arch-linux,arch,8,2026-09-14T01:01:21+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.012,10,330.69,369.8,81.6,91.6,294.828,331.336,713.543,755.672,31.447,18.618,0.0,18.621,17.1,19.0,0
arch,arch-linux,arch,9,2026-09-14T01:01:34+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,333.4,371.8,82.56,92.3,300.446,335.035,706.996,743.742,31.447,18.618,0.0,18.621,17.1,19.0,0
arch,arch-linux,arch,10,2026-09-14T01:01:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,340.26,372.8,84.31,92.3,294.169,327.078,701.109,735.273,31.446,18.618,0.0,18.621,17.2,19.0,0
