elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,309.9,75.9,320.449,720.688,9.1,4.051,1.5,4.051,1.5,0.0,1.504,19.0,0.743
2.001,363.8,90.1,321.074,721.945,9.1,7.488,3.5,3.436,1.999,0.0,3.504,19.0,1.165
3.001,366.8,90.4,321.281,722.027,9.1,11.02,5.5,3.529,1.999,0.0,5.504,19.0,1.165
4.002,364.8,89.9,321.328,721.527,9.1,14.457,7.5,3.436,1.999,0.0,7.504,19.0,1.165
5.003,367.7,90.6,321.355,723.348,9.1,17.957,9.75,3.497,2.248,0.0,9.754,19.0,1.165
6.003,357.9,88.8,321.438,723.293,9.1,21.332,11.75,3.374,1.999,0.0,11.754,19.0,1.165
7.004,369.8,91.1,324.512,730.984,9.2,24.77,13.75,3.435,1.999,0.0,13.754,19.0,1.632
8.004,365.8,90.1,324.531,731.555,9.2,28.301,16.0,3.53,2.249,0.0,16.004,19.0,1.632
9.005,366.5,91.1,324.352,731.246,9.2,31.448,18.0,3.142,1.997,0.0,18.004,8.0,1.632
10.006,63.0,15.4,0.0,439.551,5.5,31.448,18.618,0.0,0.618,0.0,18.621,1.0,1.632
