elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,304.8,75.9,304.105,992.684,12.5,4.033,1.25,4.031,1.249,0.0,1.254,19.0,3.524
2.002,365.6,90.6,305.191,993.465,12.5,7.471,3.5,3.433,2.247,0.0,3.504,19.0,3.524
3.004,369.0,91.4,305.625,993.184,12.5,11.064,5.5,3.584,1.995,0.0,5.504,19.0,3.524
4.005,366.7,90.4,305.734,993.672,12.5,14.471,7.5,3.404,1.998,0.0,7.504,19.0,3.524
5.006,368.5,91.9,305.75,993.109,12.5,17.971,9.75,3.495,2.247,0.0,9.754,19.0,3.524
6.007,360.8,89.2,305.848,992.828,12.5,21.377,11.75,3.405,1.999,0.0,11.754,19.0,3.723
7.008,367.6,91.1,305.863,993.027,12.5,24.814,13.75,3.434,1.998,0.0,13.754,19.0,3.723
8.008,367.8,90.6,305.895,992.762,12.5,28.346,15.75,3.53,1.999,0.0,15.754,19.0,3.723
9.009,365.8,91.4,306.055,994.113,12.6,31.555,18.0,3.208,2.249,0.0,18.004,18.0,3.723
10.009,71.0,17.4,0.0,755.16,9.5,31.555,18.615,0.0,0.615,0.0,18.617,1.0,3.723
