family,distribution,vm,run,started_at_utc,input_sha256,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,logical_read_total_mb,logical_write_total_mb,storage_read_total_mb,storage_write_total_mb,threads_mean,threads_peak,ffmpeg_exit_code
fedora,bazzite,bazzite,1,2026-09-13T14:35:16+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,330.57,374.3,81.93,92.8,275.452,306.453,976.203,1001.895,31.555,18.615,0.0,18.617,16.5,19.0,0
fedora,bazzite,bazzite,2,2026-09-13T14:35:29+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,332.38,373.8,82.39,92.8,275.685,306.762,960.455,985.27,31.554,18.615,0.0,18.617,17.1,19.0,0
fedora,bazzite,bazzite,3,2026-09-13T14:35:42+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,342.47,376.8,84.86,93.3,275.422,306.395,976.006,1002.305,31.554,18.615,0.0,18.617,17.2,19.0,0
fedora,bazzite,bazzite,4,2026-09-13T14:35:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,330.97,373.8,81.92,92.1,275.248,306.188,972.995,996.422,31.554,18.615,0.0,18.633,16.1,19.0,0
fedora,bazzite,bazzite,5,2026-09-13T14:36:08+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,330.99,371.8,81.92,92.1,275.567,306.551,979.68,1004.707,31.555,18.615,0.0,18.617,16.5,19.0,0
fedora,bazzite,bazzite,6,2026-09-13T14:36:21+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,330.76,369.0,81.99,91.9,275.007,306.055,969.4,994.113,31.555,18.615,0.0,18.617,17.1,19.0,0
fedora,bazzite,bazzite,7,2026-09-13T14:36:34+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.013,10,336.45,372.6,83.37,92.1,275.701,306.699,954.164,978.91,31.555,18.615,0.0,18.617,17.2,19.0,0
fedora,bazzite,bazzite,8,2026-09-13T14:36:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,330.43,374.8,81.96,93.1,275.613,306.594,957.848,982.508,31.555,18.615,0.0,18.617,16.0,19.0,0
fedora,bazzite,bazzite,9,2026-09-13T14:37:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,330.72,371.8,81.88,92.3,275.443,306.414,975.206,1000.613,31.555,18.615,0.0,18.648,16.5,19.0,0
fedora,bazzite,bazzite,10,2026-09-13T14:37:13+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,332.52,374.8,82.4,93.5,275.285,306.223,992.459,1019.801,31.553,18.615,0.0,18.617,16.5,19.0,0
