elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,303.8,75.3,304.914,1003.832,12.7,4.033,1.25,4.031,1.25,0.0,1.254,19.0,0.772
2.001,367.8,91.1,306.02,1011.367,12.8,7.533,3.5,3.498,2.249,0.0,3.504,19.0,0.772
3.002,369.6,90.9,306.422,1018.746,12.9,11.096,5.5,3.558,1.998,0.0,5.504,19.0,0.772
4.003,368.8,91.6,306.551,1018.402,12.9,14.627,7.75,3.529,2.249,0.0,7.754,19.0,1.191
5.004,373.4,92.4,306.574,1018.145,12.9,18.158,9.75,3.525,1.997,0.0,9.754,19.0,1.191
6.005,355.8,88.1,306.664,1017.863,12.9,21.314,11.75,3.155,1.999,0.0,11.754,19.0,1.191
7.005,373.8,93.1,306.68,1017.598,12.8,24.846,13.75,3.53,1.999,0.0,13.754,19.0,1.191
8.006,362.8,89.6,306.719,1017.332,12.8,28.346,15.75,3.498,1.999,0.0,15.754,19.0,1.191
9.006,372.8,92.6,306.633,1015.934,12.8,31.555,18.0,3.208,2.249,0.0,18.004,12.0,1.657
10.007,69.0,17.3,0.0,771.344,9.7,31.555,18.615,0.0,0.615,0.0,18.617,1.0,1.657
