elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,305.9,76.4,344.312,758.324,9.5,4.19,1.5,4.19,1.5,0.0,1.504,19.0,3.182
2.001,340.9,85.4,344.871,764.367,9.6,7.471,3.25,3.28,1.749,0.0,3.254,19.0,3.408
3.001,347.9,87.1,345.082,762.328,9.6,10.877,5.25,3.405,1.999,0.0,5.254,19.0,3.408
4.004,347.0,86.5,348.098,768.25,9.7,14.19,7.25,3.303,1.994,0.0,7.254,19.0,3.408
5.004,344.8,86.2,348.109,766.301,9.6,17.534,9.25,3.342,1.999,0.0,9.254,19.0,3.408
6.005,343.9,85.9,348.121,765.09,9.6,20.815,11.25,3.28,1.999,0.0,11.254,19.0,3.408
7.005,349.8,87.2,348.148,764.02,9.6,24.221,13.25,3.404,1.999,0.0,13.254,19.0,3.536
8.006,344.8,86.2,348.16,764.785,9.6,27.471,15.25,3.249,1.999,0.0,15.254,19.0,3.536
9.006,347.9,86.8,348.168,763.418,9.6,30.752,17.25,3.28,1.999,0.0,17.254,19.0,3.536
10.007,184.9,45.7,0.0,453.281,5.7,,,,,,,1.0,3.536
