elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,310.4,77.5,346.359,780.969,9.8,4.252,1.5,4.245,1.497,0.0,1.504,19.0,1.186
2.002,346.8,86.7,346.828,778.996,9.8,7.659,3.5,3.405,1.999,0.0,3.504,19.0,1.186
3.003,347.9,87.0,347.043,776.992,9.8,11.065,5.5,3.405,1.999,0.0,5.504,19.0,1.186
4.003,345.8,86.2,347.055,775.098,9.8,14.409,7.5,3.342,1.999,0.0,7.504,19.0,1.332
5.003,349.8,87.6,347.094,773.051,9.7,17.846,9.5,3.436,1.999,0.0,9.504,19.0,1.332
6.004,337.9,84.2,347.105,779.094,9.8,20.94,11.25,3.092,1.749,0.0,11.254,19.0,1.332
7.006,351.1,88.2,347.121,777.762,9.8,24.19,13.25,3.242,1.995,0.0,13.254,19.0,1.332
8.007,350.9,87.6,347.129,775.805,9.8,27.409,15.25,3.217,1.999,0.0,15.254,19.0,1.332
9.007,355.8,88.8,349.141,781.621,9.8,30.846,17.25,3.436,1.999,0.0,17.254,19.0,1.866
10.008,181.9,45.5,0.0,479.316,6.0,,,,,,,1.0,1.866
