elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,315.9,78.2,324.09,812.977,10.3,4.147,1.5,4.146,1.5,0.0,1.504,19.0,1.615
2.002,361.2,89.4,332.59,828.48,10.5,7.553,3.5,3.398,1.995,0.0,3.504,19.0,1.727
3.003,366.8,90.4,332.812,828.621,10.5,11.115,5.75,3.561,2.249,0.0,5.754,19.0,1.727
4.005,368.1,91.1,332.828,828.504,10.5,14.615,7.75,3.492,1.995,0.0,7.754,19.0,1.727
5.006,368.8,90.9,332.844,827.996,10.4,18.147,9.75,3.53,1.999,0.0,9.754,19.0,1.727
6.006,354.8,87.9,332.93,825.336,10.4,21.522,11.75,3.373,1.999,0.0,11.754,19.0,1.727
7.008,370.4,91.4,332.941,824.758,10.4,24.99,14.0,3.463,2.246,0.0,14.004,19.0,2.229
8.008,366.8,91.1,332.957,824.438,10.4,28.49,16.0,3.499,1.999,0.0,16.004,19.0,2.229
9.009,362.9,89.4,332.586,824.047,10.4,31.45,18.25,2.958,2.249,0.0,18.254,7.0,2.229
10.009,38.0,9.5,0.0,524.57,6.6,31.45,18.618,0.0,0.368,0.0,18.621,1.0,2.229
