family,distribution,vm,run,started_at_utc,input_sha256,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,logical_read_total_mb,logical_write_total_mb,storage_read_total_mb,storage_write_total_mb,threads_mean,threads_peak,ffmpeg_exit_code
arch,endeavouros,endeavouros,1,2026-09-14T01:08:59+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,327.37,370.4,80.93,91.4,298.658,332.957,794.973,828.621,31.45,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,2,2026-09-14T01:09:12+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,327.95,376.0,81.09,93.1,292.218,324.941,782.857,819.051,31.45,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,3,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,329.36,371.8,81.43,92.6,294.657,332.887,788.642,821.336,31.447,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,4,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,328.53,373.6,81.25,92.6,295.279,330.992,797.71,837.129,31.45,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,5,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,329.85,370.8,81.52,91.8,297.068,330.324,800.613,831.84,31.449,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,6,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,326.45,372.8,80.72,91.8,293.154,326.066,790.598,824.934,31.449,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,7,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,325.67,373.2,80.54,92.5,294.38,331.918,812.942,849.305,31.448,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,8,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.006,10,330.2,370.7,81.68,92.1,296.801,331.77,803.872,840.465,31.45,18.618,0.0,18.621,16.5,19.0,0
arch,endeavouros,endeavouros,9,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,328.52,371.8,81.11,92.1,291.259,324.195,780.091,809.789,31.449,18.618,0.0,18.621,16.0,19.0,0
arch,endeavouros,endeavouros,10,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,328.87,372.8,81.34,92.3,291.484,324.164,794.795,829.246,31.449,18.618,0.0,18.621,16.0,19.0,0
