elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,319.9,79.2,322.594,807.664,10.2,4.174,1.5,4.174,1.5,0.0,1.504,19.0,1.088
2.003,361.8,89.2,323.09,807.16,10.2,7.611,3.5,3.426,1.994,0.0,3.504,19.0,1.088
3.004,366.8,90.4,323.281,809.242,10.2,11.174,5.75,3.561,2.249,0.0,5.754,19.0,1.322
4.004,366.8,91.1,323.344,817.031,10.3,14.643,7.75,3.467,1.999,0.0,7.754,19.0,1.322
5.005,362.8,89.2,323.359,816.945,10.3,18.08,9.75,3.436,1.999,0.0,9.754,19.0,1.322
6.005,350.8,86.2,323.445,816.418,10.3,21.393,11.75,3.311,1.999,0.0,11.754,19.0,1.322
7.005,369.8,91.1,323.457,818.73,10.3,24.861,13.75,3.467,1.999,0.0,13.754,19.0,1.322
8.006,367.8,90.4,323.492,817.98,10.3,28.33,16.0,3.467,2.249,0.0,16.004,19.0,1.697
9.007,362.7,89.9,323.188,815.199,10.3,31.446,18.0,3.113,1.998,0.0,18.004,8.0,1.697
10.007,58.0,14.1,0.0,536.316,6.8,31.446,18.618,0.0,0.618,0.0,18.621,1.0,1.697
