elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,307.2,75.9,300.285,873.883,11.0,4.101,1.5,4.092,1.497,0.0,1.504,19.0,3.34
2.003,361.8,89.0,301.391,874.305,11.0,7.508,3.5,3.405,1.999,0.0,3.504,19.0,3.34
3.003,369.8,91.3,301.828,873.805,11.0,11.101,5.5,3.592,1.999,0.0,5.504,19.0,3.34
4.006,367.1,90.4,301.914,873.465,11.0,14.633,7.75,3.522,2.244,0.0,7.754,19.0,3.393
5.008,365.2,90.6,301.934,873.184,11.0,18.164,9.75,3.523,1.995,0.0,9.754,19.0,3.393
6.009,357.8,87.9,302.02,873.137,11.0,21.539,11.75,3.373,1.999,0.0,11.754,19.0,3.393
7.009,367.8,91.1,302.031,873.27,11.0,25.039,14.0,3.498,2.249,0.0,14.004,19.0,3.393
8.009,365.8,90.6,302.059,872.988,11.0,28.539,16.0,3.499,1.999,0.0,16.004,19.0,3.393
9.01,362.9,89.4,301.793,872.707,11.0,31.53,18.0,2.989,1.999,0.0,18.004,7.0,3.602
10.011,49.0,11.9,0.0,637.125,8.0,31.53,18.615,0.0,0.615,0.0,18.617,1.0,3.602
