family,distribution,vm,run,started_at_utc,input_sha256,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,logical_read_total_mb,logical_write_total_mb,storage_read_total_mb,storage_write_total_mb,threads_mean,threads_peak,ffmpeg_exit_code
fedora,fedora,fedora,1,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,324.87,371.8,80.45,92.3,271.652,302.18,853.616,878.543,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,2,2026-09-14T00:50:08+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,326.22,370.8,80.61,91.6,271.66,302.207,852.739,878.887,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,3,2026-09-14T00:50:21+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.007,10,327.08,368.6,80.89,91.3,271.188,301.688,849.04,873.746,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,4,2026-09-14T00:50:34+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,327.11,368.8,80.93,91.8,271.309,302.148,843.316,867.469,31.53,18.615,0.0,18.617,16.1,19.0,0
fedora,fedora,fedora,5,2026-09-14T00:50:47+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,326.35,369.7,80.74,91.6,271.507,302.047,835.678,860.703,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,6,2026-09-14T00:51:00+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.006,10,326.98,369.7,80.97,91.4,271.689,302.238,839.569,865.266,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,7,2026-09-14T00:51:13+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.011,10,327.44,369.8,80.81,91.3,271.525,302.059,849.787,874.305,31.53,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,8,2026-09-14T00:51:26+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.009,10,327.39,368.8,81.01,91.8,271.039,301.844,864.049,890.211,31.529,18.615,0.0,18.617,16.0,19.0,0
fedora,fedora,fedora,9,2026-09-14T00:51:39+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.006,10,329.78,371.6,81.68,92.1,271.625,302.145,852.282,878.301,31.53,18.615,0.0,18.617,16.5,19.0,0
fedora,fedora,fedora,10,2026-09-14T00:51:52+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.012,10,327.98,368.8,81.22,91.4,271.505,302.043,850.303,877.188,31.53,18.615,0.0,18.617,16.1,19.0,0
