elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,306.8,75.8,300.305,873.66,11.0,4.101,1.5,4.1,1.499,0.0,1.535,19.0,1.113
2.001,361.8,89.1,301.391,873.383,11.0,7.508,3.5,3.404,1.999,0.0,3.535,19.0,1.113
3.003,366.1,91.1,301.805,873.117,11.0,11.133,5.5,3.617,1.995,0.0,5.535,19.0,1.113
4.004,362.9,89.4,301.914,872.773,11.0,14.601,7.75,3.467,2.249,0.0,7.785,19.0,1.113
5.004,363.8,89.7,301.934,871.527,11.0,18.07,9.75,3.467,1.999,0.0,9.785,19.0,1.504
6.005,357.8,88.7,302.02,871.715,11.0,21.508,11.75,3.436,1.999,0.0,11.785,19.0,1.504
7.006,372.5,92.1,302.031,871.727,11.0,25.101,14.0,3.588,2.247,0.0,14.035,19.0,1.504
8.008,370.2,91.6,302.055,871.703,11.0,28.664,16.0,3.554,1.996,0.0,16.035,19.0,1.504
9.009,359.8,88.6,301.781,871.359,11.0,31.53,18.25,2.864,2.249,0.0,18.285,7.0,1.504
10.009,33.0,8.4,0.0,629.379,7.9,31.53,18.615,0.0,0.365,0.0,18.648,1.0,1.384
