elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,312.6,78.6,313.637,853.227,11.5,4.299,1.5,4.294,1.499,0.0,1.504,19.0,1.817
2.001,346.9,86.9,314.715,853.203,11.5,7.642,3.5,3.342,1.999,0.0,3.504,19.0,1.992
3.002,353.8,88.4,315.137,852.93,11.5,11.111,5.5,3.467,1.999,0.0,5.504,19.0,1.992
4.005,347.9,87.1,315.215,852.641,11.5,14.486,7.5,3.364,1.994,0.0,7.504,19.0,1.992
5.006,352.8,88.1,315.234,852.332,11.5,17.892,9.5,3.405,1.999,0.0,9.504,19.0,1.992
6.006,340.9,85.1,315.316,856.125,11.5,21.142,11.5,3.249,1.999,0.0,11.504,19.0,1.992
7.006,355.9,89.1,315.336,856.32,11.5,24.58,13.5,3.436,1.999,0.0,13.504,19.0,2.153
8.007,354.9,88.9,315.359,856.0,11.5,27.986,15.5,3.405,1.999,0.0,15.504,19.0,2.153
9.007,349.9,87.5,315.371,855.848,11.5,31.392,17.5,3.405,1.999,0.0,17.504,19.0,2.153
10.008,117.9,29.1,0.0,578.727,7.8,,,,,,,1.0,2.153
