family,distribution,vm,run,started_at_utc,input_sha256,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,logical_read_total_mb,logical_write_total_mb,storage_read_total_mb,storage_write_total_mb,threads_mean,threads_peak,ffmpeg_exit_code
debian,ubuntu,ubuntu,1,2026-09-14T00:39:58+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,321.34,356.3,80.44,89.4,283.13,314.988,839.319,868.398,,,,,17.0,19.0,0
debian,ubuntu,ubuntu,2,2026-09-14T00:40:11+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,323.35,355.9,80.88,89.1,283.532,315.371,826.735,856.32,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,3,2026-09-14T00:40:24+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.013,10,326.09,354.9,81.62,88.7,282.972,315.086,837.658,874.395,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,4,2026-09-14T00:40:37+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.012,10,328.4,360.8,82.15,90.2,283.345,315.16,836.305,864.426,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,5,2026-09-14T00:40:50+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,324.45,360.9,81.21,90.4,283.425,315.277,834.777,863.059,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,6,2026-09-14T00:41:03+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.011,10,323.93,357.5,81.07,89.4,283.334,315.254,828.618,856.77,,,,,17.1,19.0,0
debian,ubuntu,ubuntu,7,2026-09-14T00:41:16+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.01,10,325.78,359.8,81.51,90.1,282.859,314.961,840.622,874.387,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,8,2026-09-14T00:41:29+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.012,10,327.09,360.4,81.86,90.2,283.268,315.094,836.225,863.328,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,9,2026-09-14T00:41:42+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,330.93,357.4,82.81,89.4,283.43,315.254,841.473,869.906,,,,,17.2,19.0,0
debian,ubuntu,ubuntu,10,2026-09-14T00:41:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,10.008,10,326.93,357.8,81.83,89.6,283.249,315.078,826.821,854.359,,,,,17.2,19.0,0
