elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,297.9,74.9,313.031,877.227,11.8,4.141,1.5,4.141,1.5,0.0,1.504,19.0,1.325
2.001,347.7,86.8,314.129,876.918,11.8,7.516,3.5,3.372,1.998,0.0,3.504,19.0,1.325
3.001,347.8,86.8,314.508,884.281,11.9,10.923,5.5,3.404,1.999,0.0,5.504,19.0,1.325
4.002,352.9,88.1,314.633,884.188,11.9,14.329,7.5,3.405,1.999,0.0,7.504,19.0,1.325
5.002,343.8,86.3,314.645,883.906,11.9,17.704,9.5,3.373,1.999,0.0,9.504,19.0,1.325
6.003,341.9,85.6,314.734,883.375,11.9,20.954,11.5,3.249,1.999,0.0,11.504,19.0,1.619
7.003,354.8,88.6,314.746,883.293,11.9,24.423,13.5,3.467,1.999,0.0,13.504,19.0,1.619
8.004,352.9,88.4,314.762,888.668,12.0,27.86,15.5,3.436,1.999,0.0,15.504,19.0,1.619
9.005,354.6,88.9,314.805,885.324,11.9,31.298,17.5,3.433,1.998,0.0,17.504,19.0,1.619
10.006,129.9,32.2,0.0,607.582,8.2,,,,,,,1.0,1.619
